name;lat;long;country;population
Iferhounene;36.5338;4.3701;Algeria;12460
Ifigha;36.6667;4.4167;Algeria;9160
Iflissen;36.8636;4.2203;Algeria;14311
Illizi;26.5080;8.4829;Algeria;17252
In Guezzam;19.5686;5.7722;Algeria;7045
Jijel;36.8206;5.7667;Algeria;131513
Kadiria;36.5333;3.6833;Algeria;22327
Khenchela;35.4167;7.1333;Algeria;108580
L'Arbaa Nait Irathen;36.6367;4.2067;Algeria;29376
Laghouat;33.8000;2.8650;Algeria;134372
Lakhdaria;36.6167;3.5833;Algeria;59746
M'Sila;35.7058;4.5419;Algeria;150000
Makouda;36.7909;4.0669;Algeria;23388
Mascara;35.4000;0.1333;Algeria;108587
Mecheria;33.5500;-0.2833;Algeria;65043
Mechtras;36.5448;4.0049;Algeria;12683
Medea;36.2675;2.7500;Algeria;138355
Mekla;36.6876;4.2681;Algeria;24237
Messaad;34.1542;3.4969;Algeria;102453
Mila;36.4481;6.2622;Algeria;1000
Mostaganem;35.9333;0.0903;Algeria;145696
Moudjbara;34.5037;3.4704;Algeria;14052
Naama;33.2678;-0.3111;Algeria;16251
Naciria;36.7500;3.8333;Algeria;22431
Oran;35.6969;-0.6331;Algeria;852000
Ouadhia;36.5500;4.0833;Algeria;15771
Ouargla;31.9500;5.3167;Algeria;133024
Ouled Djellal;34.4167;5.0667;Algeria;1000
Ouled Moussa;36.6831;3.3681;Algeria;45770
Ouled Rached;36.2119;4.1106;Algeria;9311
Oum el Bouaghi;35.8706;7.1150;Algeria;100821
Reggane;26.7000;0.1667;Algeria;20402
Relizane;35.7372;0.5558;Algeria;130094
Saida;34.8303;0.1517;Algeria;128413
Sali;26.9833;-0.0333;Algeria;13138
Seddouk Oufella;36.6061;4.6389;Algeria;8931
Setif;36.1900;5.4100;Algeria;288461
Si Mustapha;36.7247;3.6153;Algeria;12087
Sidi Bel Abbes;35.2000;-0.6333;Algeria;212935
Sidi Daoud;36.8500;3.8500;Algeria;16900
Sidi Namane;36.7581;3.9839;Algeria;10688
Skikda;36.8667;6.9000;Algeria;163318
Souama;36.6417;4.3416;Algeria;9954
Souk Ahras;36.2864;7.9511;Algeria;155259
Souk el Had;36.6909;3.5889;Algeria;6693
Souma;36.5183;2.9053;Algeria;37461
Tadmait;36.7427;3.9019;Algeria;22838
Takerbouzt;36.4180;4.3428;Algeria;14000
Tala Yfassene;36.4583;5.0889;Algeria;20337
Tamanrasset;22.7850;5.5228;Algeria;76000
Taourga;36.7938;3.9463;Algeria;7882
Tassamert;36.2693;4.8230;Algeria;5269
Tebessa;35.4000;8.1167;Algeria;194461
Thenia;36.7278;3.5539;Algeria;21439
Tiaret;35.3667;1.3167;Algeria;178915
Tichi;36.6675;5.1601;Algeria;16546
Tifra;36.6664;4.6972;Algeria;8547
Tigzirt;36.8931;4.1225;Algeria;11962
Timimoun;29.2500;0.2333;Algeria;33060
Timizart;36.8000;4.2667;Algeria;28996
Timoktene;27.0217;1.0150;Algeria;18598
Tindouf;27.6753;-8.1286;Algeria;45610
Tipasa;36.5942;2.4430;Algeria;25225
Tirmitine;36.6618;3.9848;Algeria;19027
Tissemsilt;35.6072;1.8106;Algeria;75197
Tizi Gheniff;36.5891;3.7678;Algeria;29409
Tizi Ouzou;36.7169;4.0497;Algeria;135088
Tizi Rached;36.6718;4.1918;Algeria;17161
Tizi-n-Bechar;36.4311;5.3600;Algeria;21086
Tizi-n-Tleta;36.5457;4.0571;Algeria;15479
Tlemcen;34.8828;-1.3167;Algeria;173531
Toudja;36.7586;4.8933;Algeria;9827
Touggourt;33.1000;6.0667;Algeria;39409
Yakouren;36.7348;4.4386;Algeria;12203
Pago Pago;-14.2740;-170.7046;American Samoa;12576
Andorra la Vella;42.5000;1.5000;Andorra;22615
Canillo;42.5664;1.6009;Andorra;4103
Encamp;42.5361;1.5828;Andorra;12338
Escaldes-Engordany;42.5089;1.5408;Andorra;14521
La Massana;42.5442;1.5164;Andorra;10076
Ordino;42.5550;1.5331;Andorra;4545
Sant Julia de Loria;42.4700;1.4900;Andorra;9156
Alto-Cuilo;-10.0500;19.5167;Angola;21004
Ambriz;-7.8500;13.1167;Angola;17000
Baia Farta;-12.6128;13.1987;Angola;107841
Bala Cangamba;-13.6996;19.8600;Angola;1307
Balombo;-12.3500;14.7667;Angola;108965
Barra do Dande;-8.4728;13.3731;Angola;222528
Belas;-9.0689;13.1608;Angola;500000
Benguela;-12.5500;13.4167;Angola;561775
Bocoio;-12.4667;14.1333;Angola;164685
Bolongongo;-8.4667;15.2500;Angola;13019
